Latitud,Longitud
"-33,4327590000058","-70,68051400011819"
"-33,4299930001867","-70,6806940000432"
"-33,4280949999309","-70,6802220000401"
"-33,4272710003297","-70,67893400007731"
"-33,4265189997775","-70,67704600006491"
"-33,427288999633","-70,6746430003917"
"-33,4281309996915","-70,67236799986669"
"-33,4283010001084","-70,6719710002066"
"-33,4264660000152","-70,67131699973029"
"-33,4268769999835","-70,67000799985119"
"-33,429169999967","-70,6627980001083"
"-33,4320350003227","-70,65301300026471"
"-33,4334670002414","-70,6462329997938"
"-33,4359029997449","-70,63524600020109"
"-33,4368700002112","-70,63515999998739"
"-33,4385169997308","-70,6348169998557"
"-33,4555259999712","-70,62971000021039"
"-33,4595719999428","-70,6494079999441"
"-33,4603240003137","-70,6565320003715"
"-33,460367999663","-70,6570040003746"
"-33,4601760001583","-70,657454999563"
"-33,4591759998603","-70,6576269999905"
"-33,4583190002415","-70,6575940003785"
"-33,4581309997851","-70,658340000018"
"-33,4582110002683","-70,65910699957389"
"-33,4583539996835","-70,66005099958009"
"-33,4580319997875","-70,6603729997954"
"-33,4572710002334","-70,6604380000927"
"-33,4569630000623","-70,6603729997954"
"-33,4567879999035","-70,6604909997962"
"-33,4569000000459","-70,6624490001288"
"-33,4570299999225","-70,66411799985811"
"-33,457747999962","-70,6682379998395"
"-33,4581699998894","-70,6707610000616"
"-33,458449000239","-70,6721989998123"
"-33,4586560000633","-70,67569600017789"
"-33,4581239998798","-70,67831999978399"
"-33,4543910002942","-70,6780529998203"
"-33,4515480002752","-70,6778550003519"
"-33,4506209996282","-70,677850000329"
"-33,450950999653","-70,6790549995528"
"-33,4472359997524","-70,6793340001104"
"-33,4437169997978","-70,6796980001585"
"-33,4438609998137","-70,680299000033"
"-33,4445770003412","-70,6920580001028"
"-33,4425359999558","-70,6919509999726"
"-33,4398139999687","-70,6916499996738"
"-33,4392589998762","-70,6917149999711"
"-33,4385519996681","-70,68327099979371"
"-33,4374149997322","-70,6833999996652"
"-33,4373649999119","-70,68312299965569"
"-33,4366889998731","-70,6831689996865"
"-33,4366089997773","-70,6827019997063"
"-33,43633999987","-70,68275100011"
"-33,4361789996854","-70,68173699978369"
"-33,4375440003199","-70,68165599959281"
"-33,4375220001054","-70,6812430000392"
"-33,4384169998322","-70,68120000038149"
"-33,4383819998404","-70,6801269996056"
"-33,4327590000058","-70,68051400011819"
