fecha,Recuperado
2020-03-17,1.0
2020-03-18,3.0
2020-03-19,4.0
2020-03-20,5.0
2020-03-21,6.0
2020-03-22,8.0
2020-03-23,11.0
2020-03-24,17.0
2020-03-25,22.0
2020-03-26,33.0
2020-03-27,43.0
2020-03-28,61.0
2020-03-29,75.0
2020-03-30,156.0
2020-03-31,201.0
2020-04-01,234.0
2020-04-02,335.0
2020-04-03,427.0
2020-04-04,528.0
2020-04-05,617.0
2020-04-06,728.0
2020-04-07,898.0
2020-04-08,1115.0
2020-04-09,1274.0
2020-04-10,1571.0
2020-04-11,1864.0
2020-04-12,2059.0
2020-04-13,2367.0
2020-04-14,2646.0
2020-04-15,2937.0
2020-04-16,3299.0
2020-04-17,3621.0
2020-04-18,4035.0
2020-04-19,4338.0
2020-04-20,4676.0
2020-04-21,4969.0
2020-04-22,5386.0
2020-04-23,5804.0
2020-04-24,6327.0
2020-04-25,6746.0
2020-04-26,7024.0
2020-04-27,7327.0
2020-04-28,7710.0
2020-04-29,8057.0
Unnamed: 45,8580.0
2020-04-30,
