,Grupo de edad,Sexo,fecha,Cantidad
0,00 - 04 años,M,2020-04-06,11
1,00 - 04 años,M,2020-04-08,18
2,00 - 04 años,M,2020-04-10,30
3,00 - 04 años,M,2020-04-13,38
4,00 - 04 años,M,2020-04-15,46
5,00 - 04 años,M,2020-04-17,52
6,05 - 09 años,M,2020-04-06,13
7,05 - 09 años,M,2020-04-08,17
8,05 - 09 años,M,2020-04-10,20
9,05 - 09 años,M,2020-04-13,27
10,05 - 09 años,M,2020-04-15,32
11,05 - 09 años,M,2020-04-17,38
12,10 - 14 años,M,2020-04-06,23
13,10 - 14 años,M,2020-04-08,31
14,10 - 14 años,M,2020-04-10,37
15,10 - 14 años,M,2020-04-13,51
16,10 - 14 años,M,2020-04-15,57
17,10 - 14 años,M,2020-04-17,71
18,15 - 19 años,M,2020-04-06,50
19,15 - 19 años,M,2020-04-08,56
20,15 - 19 años,M,2020-04-10,65
21,15 - 19 años,M,2020-04-13,77
22,15 - 19 años,M,2020-04-15,86
23,15 - 19 años,M,2020-04-17,103
24,20 - 24 años,M,2020-04-06,138
25,20 - 24 años,M,2020-04-08,175
26,20 - 24 años,M,2020-04-10,209
27,20 - 24 años,M,2020-04-13,252
28,20 - 24 años,M,2020-04-15,290
29,20 - 24 años,M,2020-04-17,327
30,25 - 29 años,M,2020-04-06,252
31,25 - 29 años,M,2020-04-08,312
32,25 - 29 años,M,2020-04-10,366
33,25 - 29 años,M,2020-04-13,434
34,25 - 29 años,M,2020-04-15,486
35,25 - 29 años,M,2020-04-17,558
36,30 - 34 años,M,2020-04-06,295
37,30 - 34 años,M,2020-04-08,353
38,30 - 34 años,M,2020-04-10,405
39,30 - 34 años,M,2020-04-13,469
40,30 - 34 años,M,2020-04-15,526
41,30 - 34 años,M,2020-04-17,578
42,35 - 39 años,M,2020-04-06,263
43,35 - 39 años,M,2020-04-08,324
44,35 - 39 años,M,2020-04-10,372
45,35 - 39 años,M,2020-04-13,423
46,35 - 39 años,M,2020-04-15,461
47,35 - 39 años,M,2020-04-17,520
48,40 - 44 años,M,2020-04-06,234
49,40 - 44 años,M,2020-04-08,284
50,40 - 44 años,M,2020-04-10,327
51,40 - 44 años,M,2020-04-13,387
52,40 - 44 años,M,2020-04-15,415
53,40 - 44 años,M,2020-04-17,455
54,45 - 49 años,M,2020-04-06,221
55,45 - 49 años,M,2020-04-08,274
56,45 - 49 años,M,2020-04-10,303
57,45 - 49 años,M,2020-04-13,357
58,45 - 49 años,M,2020-04-15,386
59,45 - 49 años,M,2020-04-17,432
60,50 - 54 años,M,2020-04-06,180
61,50 - 54 años,M,2020-04-08,220
62,50 - 54 años,M,2020-04-10,259
63,50 - 54 años,M,2020-04-13,308
64,50 - 54 años,M,2020-04-15,337
65,50 - 54 años,M,2020-04-17,376
66,55 - 59 años,M,2020-04-06,159
67,55 - 59 años,M,2020-04-08,197
68,55 - 59 años,M,2020-04-10,232
69,55 - 59 años,M,2020-04-13,268
70,55 - 59 años,M,2020-04-15,295
71,55 - 59 años,M,2020-04-17,336
72,60 - 64 años,M,2020-04-06,115
73,60 - 64 años,M,2020-04-08,145
74,60 - 64 años,M,2020-04-10,171
75,60 - 64 años,M,2020-04-13,201
76,60 - 64 años,M,2020-04-15,224
77,60 - 64 años,M,2020-04-17,258
78,65 - 69 años,M,2020-04-06,82
79,65 - 69 años,M,2020-04-08,101
80,65 - 69 años,M,2020-04-10,119
81,65 - 69 años,M,2020-04-13,135
82,65 - 69 años,M,2020-04-15,151
83,65 - 69 años,M,2020-04-17,172
84,70 - 74 años,M,2020-04-06,67
85,70 - 74 años,M,2020-04-08,86
86,70 - 74 años,M,2020-04-10,100
87,70 - 74 años,M,2020-04-13,112
88,70 - 74 años,M,2020-04-15,127
89,70 - 74 años,M,2020-04-17,140
90,75 - 79 años,M,2020-04-06,48
91,75 - 79 años,M,2020-04-08,60
92,75 - 79 años,M,2020-04-10,70
93,75 - 79 años,M,2020-04-13,80
94,75 - 79 años,M,2020-04-15,88
95,75 - 79 años,M,2020-04-17,99
96,80 y más años,M,2020-04-06,40
97,80 y más años,M,2020-04-08,54
98,80 y más años,M,2020-04-10,65
99,80 y más años,M,2020-04-13,80
100,80 y más años,M,2020-04-15,92
101,80 y más años,M,2020-04-17,101
102,00 - 04 años,F,2020-04-06,15
103,00 - 04 años,F,2020-04-08,21
104,00 - 04 años,F,2020-04-10,30
105,00 - 04 años,F,2020-04-13,39
106,00 - 04 años,F,2020-04-15,46
107,00 - 04 años,F,2020-04-17,60
108,05 - 09 años,F,2020-04-06,16
109,05 - 09 años,F,2020-04-08,23
110,05 - 09 años,F,2020-04-10,31
111,05 - 09 años,F,2020-04-13,37
112,05 - 09 años,F,2020-04-15,40
113,05 - 09 años,F,2020-04-17,48
114,10 - 14 años,F,2020-04-06,23
115,10 - 14 años,F,2020-04-08,34
116,10 - 14 años,F,2020-04-10,39
117,10 - 14 años,F,2020-04-13,48
118,10 - 14 años,F,2020-04-15,50
119,10 - 14 años,F,2020-04-17,57
120,15 - 19 años,F,2020-04-06,56
121,15 - 19 años,F,2020-04-08,78
122,15 - 19 años,F,2020-04-10,89
123,15 - 19 años,F,2020-04-13,108
124,15 - 19 años,F,2020-04-15,121
125,15 - 19 años,F,2020-04-17,136
126,20 - 24 años,F,2020-04-06,144
127,20 - 24 años,F,2020-04-08,177
128,20 - 24 años,F,2020-04-10,217
129,20 - 24 años,F,2020-04-13,253
130,20 - 24 años,F,2020-04-15,284
131,20 - 24 años,F,2020-04-17,316
132,25 - 29 años,F,2020-04-06,281
133,25 - 29 años,F,2020-04-08,344
134,25 - 29 años,F,2020-04-10,403
135,25 - 29 años,F,2020-04-13,477
136,25 - 29 años,F,2020-04-15,518
137,25 - 29 años,F,2020-04-17,574
138,30 - 34 años,F,2020-04-06,297
139,30 - 34 años,F,2020-04-08,357
140,30 - 34 años,F,2020-04-10,413
141,30 - 34 años,F,2020-04-13,494
142,30 - 34 años,F,2020-04-15,550
143,30 - 34 años,F,2020-04-17,603
144,35 - 39 años,F,2020-04-06,263
145,35 - 39 años,F,2020-04-08,316
146,35 - 39 años,F,2020-04-10,358
147,35 - 39 años,F,2020-04-13,419
148,35 - 39 años,F,2020-04-15,459
149,35 - 39 años,F,2020-04-17,514
150,40 - 44 años,F,2020-04-06,217
151,40 - 44 años,F,2020-04-08,272
152,40 - 44 años,F,2020-04-10,314
153,40 - 44 años,F,2020-04-13,369
154,40 - 44 años,F,2020-04-15,414
155,40 - 44 años,F,2020-04-17,472
156,45 - 49 años,F,2020-04-06,204
157,45 - 49 años,F,2020-04-08,249
158,45 - 49 años,F,2020-04-10,283
159,45 - 49 años,F,2020-04-13,338
160,45 - 49 años,F,2020-04-15,367
161,45 - 49 años,F,2020-04-17,422
162,50 - 54 años,F,2020-04-06,180
163,50 - 54 años,F,2020-04-08,237
164,50 - 54 años,F,2020-04-10,271
165,50 - 54 años,F,2020-04-13,315
166,50 - 54 años,F,2020-04-15,336
167,50 - 54 años,F,2020-04-17,375
168,55 - 59 años,F,2020-04-06,143
169,55 - 59 años,F,2020-04-08,185
170,55 - 59 años,F,2020-04-10,213
171,55 - 59 años,F,2020-04-13,243
172,55 - 59 años,F,2020-04-15,283
173,55 - 59 años,F,2020-04-17,321
174,60 - 64 años,F,2020-04-06,113
175,60 - 64 años,F,2020-04-08,138
176,60 - 64 años,F,2020-04-10,155
177,60 - 64 años,F,2020-04-13,188
178,60 - 64 años,F,2020-04-15,211
179,60 - 64 años,F,2020-04-17,234
180,65 - 69 años,F,2020-04-06,67
181,65 - 69 años,F,2020-04-08,84
182,65 - 69 años,F,2020-04-10,99
183,65 - 69 años,F,2020-04-13,119
184,65 - 69 años,F,2020-04-15,140
185,65 - 69 años,F,2020-04-17,155
186,70 - 74 años,F,2020-04-06,58
187,70 - 74 años,F,2020-04-08,69
188,70 - 74 años,F,2020-04-10,82
189,70 - 74 años,F,2020-04-13,95
190,70 - 74 años,F,2020-04-15,110
191,70 - 74 años,F,2020-04-17,127
192,75 - 79 años,F,2020-04-06,41
193,75 - 79 años,F,2020-04-08,48
194,75 - 79 años,F,2020-04-10,57
195,75 - 79 años,F,2020-04-13,64
196,75 - 79 años,F,2020-04-15,71
197,75 - 79 años,F,2020-04-17,85
198,80 y más años,F,2020-04-06,37
199,80 y más años,F,2020-04-08,58
200,80 y más años,F,2020-04-10,88
201,80 y más años,F,2020-04-13,107
202,80 y más años,F,2020-04-15,117
203,80 y más años,F,2020-04-17,137
