,Region,Codigo region,Comuna,Codigo comuna,Poblacion,fecha,Cantidad
0,Arica y Parinacota,15.0,Arica,15101.0,247552.0,2020-04-13,88.0
1,Arica y Parinacota,15.0,Arica,15101.0,247552.0,2020-04-15,80.0
2,Arica y Parinacota,15.0,Arica,15101.0,247552.0,2020-04-17,72.0
3,Arica y Parinacota,15.0,Camarones,15102.0,1233.0,2020-04-13,0.0
4,Arica y Parinacota,15.0,Camarones,15102.0,1233.0,2020-04-15,0.0
5,Arica y Parinacota,15.0,Camarones,15102.0,1233.0,2020-04-17,0.0
6,Arica y Parinacota,15.0,General Lagos,15202.0,810.0,2020-04-13,0.0
7,Arica y Parinacota,15.0,General Lagos,15202.0,810.0,2020-04-15,0.0
8,Arica y Parinacota,15.0,General Lagos,15202.0,810.0,2020-04-17,0.0
9,Arica y Parinacota,15.0,Putre,15201.0,2515.0,2020-04-13,0.0
10,Arica y Parinacota,15.0,Putre,15201.0,2515.0,2020-04-15,0.0
11,Arica y Parinacota,15.0,Putre,15201.0,2515.0,2020-04-17,0.0
12,Arica y Parinacota,15.0,Total,,252110.0,2020-04-13,88.0
13,Arica y Parinacota,15.0,Total,,252110.0,2020-04-15,80.0
14,Arica y Parinacota,15.0,Total,,252110.0,2020-04-17,72.0
15,,,,,,2020-04-13,
16,,,,,,2020-04-15,
17,,,,,,2020-04-17,
18,Tarapaca,1.0,Alto Hospicio,1107.0,129999.0,2020-04-13,8.0
19,Tarapaca,1.0,Alto Hospicio,1107.0,129999.0,2020-04-15,8.0
20,Tarapaca,1.0,Alto Hospicio,1107.0,129999.0,2020-04-17,7.0
21,Tarapaca,1.0,Camina,1402.0,1375.0,2020-04-13,0.0
22,Tarapaca,1.0,Camina,1402.0,1375.0,2020-04-15,0.0
23,Tarapaca,1.0,Camina,1402.0,1375.0,2020-04-17,0.0
24,Tarapaca,1.0,Colchane,1403.0,1583.0,2020-04-13,0.0
25,Tarapaca,1.0,Colchane,1403.0,1583.0,2020-04-15,0.0
26,Tarapaca,1.0,Colchane,1403.0,1583.0,2020-04-17,0.0
27,Tarapaca,1.0,Huara,1404.0,3000.0,2020-04-13,0.0
28,Tarapaca,1.0,Huara,1404.0,3000.0,2020-04-15,0.0
29,Tarapaca,1.0,Huara,1404.0,3000.0,2020-04-17,0.0
30,Tarapaca,1.0,Iquique,1101.0,223463.0,2020-04-13,11.0
31,Tarapaca,1.0,Iquique,1101.0,223463.0,2020-04-15,8.0
32,Tarapaca,1.0,Iquique,1101.0,223463.0,2020-04-17,10.0
33,Tarapaca,1.0,Pica,1405.0,5958.0,2020-04-13,9.0
34,Tarapaca,1.0,Pica,1405.0,5958.0,2020-04-15,17.0
35,Tarapaca,1.0,Pica,1405.0,5958.0,2020-04-17,21.0
36,Tarapaca,1.0,Pozo Almonte,1401.0,17395.0,2020-04-13,2.0
37,Tarapaca,1.0,Pozo Almonte,1401.0,17395.0,2020-04-15,2.0
38,Tarapaca,1.0,Pozo Almonte,1401.0,17395.0,2020-04-17,0.0
39,Tarapaca,1.0,Total,,382773.0,2020-04-13,30.0
40,Tarapaca,1.0,Total,,382773.0,2020-04-15,35.0
41,Tarapaca,1.0,Total,,382773.0,2020-04-17,38.0
42,,,,,,2020-04-13,
43,,,,,,2020-04-15,
44,,,,,,2020-04-17,
45,Antofagasta,2.0,Antofagasta,2101.0,425725.0,2020-04-13,49.0
46,Antofagasta,2.0,Antofagasta,2101.0,425725.0,2020-04-15,54.0
47,Antofagasta,2.0,Antofagasta,2101.0,425725.0,2020-04-17,62.0
48,Antofagasta,2.0,Calama,2201.0,190336.0,2020-04-13,12.0
49,Antofagasta,2.0,Calama,2201.0,190336.0,2020-04-15,11.0
50,Antofagasta,2.0,Calama,2201.0,190336.0,2020-04-17,10.0
51,Antofagasta,2.0,Maria Elena,2302.0,6814.0,2020-04-13,1.0
52,Antofagasta,2.0,Maria Elena,2302.0,6814.0,2020-04-15,2.0
53,Antofagasta,2.0,Maria Elena,2302.0,6814.0,2020-04-17,4.0
54,Antofagasta,2.0,Mejillones,2102.0,14776.0,2020-04-13,11.0
55,Antofagasta,2.0,Mejillones,2102.0,14776.0,2020-04-15,13.0
56,Antofagasta,2.0,Mejillones,2102.0,14776.0,2020-04-17,14.0
57,Antofagasta,2.0,Ollague,2202.0,287.0,2020-04-13,0.0
58,Antofagasta,2.0,Ollague,2202.0,287.0,2020-04-15,0.0
59,Antofagasta,2.0,Ollague,2202.0,287.0,2020-04-17,0.0
60,Antofagasta,2.0,San Pedro de Atacama,2203.0,10434.0,2020-04-13,1.0
61,Antofagasta,2.0,San Pedro de Atacama,2203.0,10434.0,2020-04-15,0.0
62,Antofagasta,2.0,San Pedro de Atacama,2203.0,10434.0,2020-04-17,0.0
63,Antofagasta,2.0,Sierra Gorda,2103.0,1746.0,2020-04-13,0.0
64,Antofagasta,2.0,Sierra Gorda,2103.0,1746.0,2020-04-15,0.0
65,Antofagasta,2.0,Sierra Gorda,2103.0,1746.0,2020-04-17,0.0
66,Antofagasta,2.0,Taltal,2104.0,13657.0,2020-04-13,3.0
67,Antofagasta,2.0,Taltal,2104.0,13657.0,2020-04-15,5.0
68,Antofagasta,2.0,Taltal,2104.0,13657.0,2020-04-17,5.0
69,Antofagasta,2.0,Tocopilla,2301.0,28079.0,2020-04-13,1.0
70,Antofagasta,2.0,Tocopilla,2301.0,28079.0,2020-04-15,3.0
71,Antofagasta,2.0,Tocopilla,2301.0,28079.0,2020-04-17,8.0
72,Antofagasta,2.0,Total,,691854.0,2020-04-13,78.0
73,Antofagasta,2.0,Total,,691854.0,2020-04-15,88.0
74,Antofagasta,2.0,Total,,691854.0,2020-04-17,103.0
75,,,,,,2020-04-13,
76,,,,,,2020-04-15,
77,,,,,,2020-04-17,
78,Atacama,3.0,Alto del Carmen,3302.0,5729.0,2020-04-13,0.0
79,Atacama,3.0,Alto del Carmen,3302.0,5729.0,2020-04-15,0.0
80,Atacama,3.0,Alto del Carmen,3302.0,5729.0,2020-04-17,0.0
81,Atacama,3.0,Caldera,3102.0,19426.0,2020-04-13,0.0
82,Atacama,3.0,Caldera,3102.0,19426.0,2020-04-15,0.0
83,Atacama,3.0,Caldera,3102.0,19426.0,2020-04-17,0.0
84,Atacama,3.0,Chanaral,3201.0,13164.0,2020-04-13,0.0
85,Atacama,3.0,Chanaral,3201.0,13164.0,2020-04-15,0.0
86,Atacama,3.0,Chanaral,3201.0,13164.0,2020-04-17,0.0
87,Atacama,3.0,Copiapo,3101.0,171766.0,2020-04-13,5.0
88,Atacama,3.0,Copiapo,3101.0,171766.0,2020-04-15,5.0
89,Atacama,3.0,Copiapo,3101.0,171766.0,2020-04-17,5.0
90,Atacama,3.0,Diego de Almagro,3202.0,14358.0,2020-04-13,0.0
91,Atacama,3.0,Diego de Almagro,3202.0,14358.0,2020-04-15,0.0
92,Atacama,3.0,Diego de Almagro,3202.0,14358.0,2020-04-17,0.0
93,Atacama,3.0,Freirina,3303.0,7681.0,2020-04-13,0.0
94,Atacama,3.0,Freirina,3303.0,7681.0,2020-04-15,0.0
95,Atacama,3.0,Freirina,3303.0,7681.0,2020-04-17,0.0
96,Atacama,3.0,Huasco,3304.0,11264.0,2020-04-13,0.0
97,Atacama,3.0,Huasco,3304.0,11264.0,2020-04-15,0.0
98,Atacama,3.0,Huasco,3304.0,11264.0,2020-04-17,0.0
99,Atacama,3.0,Tierra Amarilla,3103.0,14312.0,2020-04-13,4.0
100,Atacama,3.0,Tierra Amarilla,3103.0,14312.0,2020-04-15,4.0
101,Atacama,3.0,Tierra Amarilla,3103.0,14312.0,2020-04-17,4.0
102,Atacama,3.0,Vallenar,3301.0,57009.0,2020-04-13,0.0
103,Atacama,3.0,Vallenar,3301.0,57009.0,2020-04-15,0.0
104,Atacama,3.0,Vallenar,3301.0,57009.0,2020-04-17,0.0
105,Atacama,3.0,Total,,314709.0,2020-04-13,9.0
106,Atacama,3.0,Total,,314709.0,2020-04-15,9.0
107,Atacama,3.0,Total,,314709.0,2020-04-17,9.0
108,,,,,,2020-04-13,
109,,,,,,2020-04-15,
110,,,,,,2020-04-17,
111,Coquimbo,4.0,Andacollo,4103.0,11791.0,2020-04-13,0.0
112,Coquimbo,4.0,Andacollo,4103.0,11791.0,2020-04-15,0.0
113,Coquimbo,4.0,Andacollo,4103.0,11791.0,2020-04-17,0.0
114,Coquimbo,4.0,Canela,4202.0,9546.0,2020-04-13,0.0
115,Coquimbo,4.0,Canela,4202.0,9546.0,2020-04-15,0.0
116,Coquimbo,4.0,Canela,4202.0,9546.0,2020-04-17,0.0
117,Coquimbo,4.0,Combarbala,4302.0,13884.0,2020-04-13,0.0
118,Coquimbo,4.0,Combarbala,4302.0,13884.0,2020-04-15,0.0
