,Region,Codigo region,Poblacion,fecha,Cantidad
0,Arica y Parinacota,15,252110,2020-04-01,0
1,Arica y Parinacota,15,252110,2020-04-02,0
2,Arica y Parinacota,15,252110,2020-04-03,0
3,Arica y Parinacota,15,252110,2020-04-04,0
4,Arica y Parinacota,15,252110,2020-04-05,2
5,Arica y Parinacota,15,252110,2020-04-06,4
6,Arica y Parinacota,15,252110,2020-04-07,4
7,Arica y Parinacota,15,252110,2020-04-08,5
8,Arica y Parinacota,15,252110,2020-04-09,5
9,Arica y Parinacota,15,252110,2020-04-10,5
10,Arica y Parinacota,15,252110,2020-04-11,5
11,Arica y Parinacota,15,252110,2020-04-12,5
12,Arica y Parinacota,15,252110,2020-04-13,5
13,Arica y Parinacota,15,252110,2020-04-14,5
14,Arica y Parinacota,15,252110,2020-04-15,5
15,Arica y Parinacota,15,252110,2020-04-16,6
16,Arica y Parinacota,15,252110,2020-04-17,6
17,Arica y Parinacota,15,252110,2020-04-18,5
18,Arica y Parinacota,15,252110,2020-04-19,5
19,Arica y Parinacota,15,252110,2020-04-20,5
20,Tarapaca,1,382773,2020-04-01,1
21,Tarapaca,1,382773,2020-04-02,1
22,Tarapaca,1,382773,2020-04-03,1
23,Tarapaca,1,382773,2020-04-04,1
24,Tarapaca,1,382773,2020-04-05,1
25,Tarapaca,1,382773,2020-04-06,2
26,Tarapaca,1,382773,2020-04-07,2
27,Tarapaca,1,382773,2020-04-08,2
28,Tarapaca,1,382773,2020-04-09,2
29,Tarapaca,1,382773,2020-04-10,3
30,Tarapaca,1,382773,2020-04-11,3
31,Tarapaca,1,382773,2020-04-12,2
32,Tarapaca,1,382773,2020-04-13,2
33,Tarapaca,1,382773,2020-04-14,1
34,Tarapaca,1,382773,2020-04-15,0
35,Tarapaca,1,382773,2020-04-16,0
36,Tarapaca,1,382773,2020-04-17,0
37,Tarapaca,1,382773,2020-04-18,0
38,Tarapaca,1,382773,2020-04-19,1
39,Tarapaca,1,382773,2020-04-20,1
40,Antofagasta,2,691854,2020-04-01,3
41,Antofagasta,2,691854,2020-04-02,4
42,Antofagasta,2,691854,2020-04-03,3
43,Antofagasta,2,691854,2020-04-04,3
44,Antofagasta,2,691854,2020-04-05,3
45,Antofagasta,2,691854,2020-04-06,3
46,Antofagasta,2,691854,2020-04-07,2
47,Antofagasta,2,691854,2020-04-08,2
48,Antofagasta,2,691854,2020-04-09,2
49,Antofagasta,2,691854,2020-04-10,3
50,Antofagasta,2,691854,2020-04-11,2
51,Antofagasta,2,691854,2020-04-12,3
52,Antofagasta,2,691854,2020-04-13,4
53,Antofagasta,2,691854,2020-04-14,4
54,Antofagasta,2,691854,2020-04-15,5
55,Antofagasta,2,691854,2020-04-16,5
56,Antofagasta,2,691854,2020-04-17,6
57,Antofagasta,2,691854,2020-04-18,5
58,Antofagasta,2,691854,2020-04-19,5
59,Antofagasta,2,691854,2020-04-20,5
60,Atacama,3,314709,2020-04-01,0
61,Atacama,3,314709,2020-04-02,0
62,Atacama,3,314709,2020-04-03,0
63,Atacama,3,314709,2020-04-04,0
64,Atacama,3,314709,2020-04-05,0
65,Atacama,3,314709,2020-04-06,0
66,Atacama,3,314709,2020-04-07,0
67,Atacama,3,314709,2020-04-08,1
68,Atacama,3,314709,2020-04-09,1
69,Atacama,3,314709,2020-04-10,1
70,Atacama,3,314709,2020-04-11,1
71,Atacama,3,314709,2020-04-12,1
72,Atacama,3,314709,2020-04-13,1
73,Atacama,3,314709,2020-04-14,1
74,Atacama,3,314709,2020-04-15,1
75,Atacama,3,314709,2020-04-16,1
76,Atacama,3,314709,2020-04-17,1
77,Atacama,3,314709,2020-04-18,1
78,Atacama,3,314709,2020-04-19,1
79,Atacama,3,314709,2020-04-20,1
80,Coquimbo,4,836096,2020-04-01,1
81,Coquimbo,4,836096,2020-04-02,1
82,Coquimbo,4,836096,2020-04-03,1
83,Coquimbo,4,836096,2020-04-04,2
84,Coquimbo,4,836096,2020-04-05,1
85,Coquimbo,4,836096,2020-04-06,1
86,Coquimbo,4,836096,2020-04-07,2
87,Coquimbo,4,836096,2020-04-08,1
88,Coquimbo,4,836096,2020-04-09,1
89,Coquimbo,4,836096,2020-04-10,2
90,Coquimbo,4,836096,2020-04-11,2
91,Coquimbo,4,836096,2020-04-12,1
92,Coquimbo,4,836096,2020-04-13,0
93,Coquimbo,4,836096,2020-04-14,1
94,Coquimbo,4,836096,2020-04-15,1
95,Coquimbo,4,836096,2020-04-16,0
96,Coquimbo,4,836096,2020-04-17,0
97,Coquimbo,4,836096,2020-04-18,0
98,Coquimbo,4,836096,2020-04-19,0
99,Coquimbo,4,836096,2020-04-20,0
100,Valparaiso,5,1960170,2020-04-01,14
101,Valparaiso,5,1960170,2020-04-02,17
102,Valparaiso,5,1960170,2020-04-03,18
103,Valparaiso,5,1960170,2020-04-04,22
104,Valparaiso,5,1960170,2020-04-05,27
105,Valparaiso,5,1960170,2020-04-06,22
106,Valparaiso,5,1960170,2020-04-07,21
107,Valparaiso,5,1960170,2020-04-08,20
108,Valparaiso,5,1960170,2020-04-09,22
109,Valparaiso,5,1960170,2020-04-10,21
110,Valparaiso,5,1960170,2020-04-11,22
111,Valparaiso,5,1960170,2020-04-12,18
112,Valparaiso,5,1960170,2020-04-13,16
113,Valparaiso,5,1960170,2020-04-14,16
114,Valparaiso,5,1960170,2020-04-15,16
115,Valparaiso,5,1960170,2020-04-16,18
116,Valparaiso,5,1960170,2020-04-17,18
117,Valparaiso,5,1960170,2020-04-18,19
118,Valparaiso,5,1960170,2020-04-19,22
119,Valparaiso,5,1960170,2020-04-20,22
120,Metropolitana,13,8125072,2020-04-01,83
121,Metropolitana,13,8125072,2020-04-02,90
122,Metropolitana,13,8125072,2020-04-03,107
123,Metropolitana,13,8125072,2020-04-04,129
124,Metropolitana,13,8125072,2020-04-05,146
125,Metropolitana,13,8125072,2020-04-06,161
126,Metropolitana,13,8125072,2020-04-07,160
127,Metropolitana,13,8125072,2020-04-08,174
128,Metropolitana,13,8125072,2020-04-09,164
129,Metropolitana,13,8125072,2020-04-10,181
130,Metropolitana,13,8125072,2020-04-11,178
131,Metropolitana,13,8125072,2020-04-12,185
132,Metropolitana,13,8125072,2020-04-13,189
133,Metropolitana,13,8125072,2020-04-14,190
134,Metropolitana,13,8125072,2020-04-15,198
135,Metropolitana,13,8125072,2020-04-16,196
136,Metropolitana,13,8125072,2020-04-17,202
137,Metropolitana,13,8125072,2020-04-18,181
138,Metropolitana,13,8125072,2020-04-19,186
139,Metropolitana,13,8125072,2020-04-20,194
140,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-01,5
141,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-02,5
142,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-03,5
143,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-04,5
144,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-05,5
145,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-06,6
146,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-07,6
147,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-08,6
148,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-09,6
149,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-10,7
150,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-11,7
151,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-12,7
152,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-13,7
153,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-14,5
154,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-15,6
155,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-16,4
156,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-17,4
157,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-18,4
158,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-19,4
159,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-20,4
160,Maule,7,1131939,2020-04-01,3
161,Maule,7,1131939,2020-04-02,3
162,Maule,7,1131939,2020-04-03,3
163,Maule,7,1131939,2020-04-04,3
164,Maule,7,1131939,2020-04-05,4
165,Maule,7,1131939,2020-04-06,5
166,Maule,7,1131939,2020-04-07,7
167,Maule,7,1131939,2020-04-08,8
168,Maule,7,1131939,2020-04-09,10
169,Maule,7,1131939,2020-04-10,11
170,Maule,7,1131939,2020-04-11,13
171,Maule,7,1131939,2020-04-12,15
172,Maule,7,1131939,2020-04-13,16
173,Maule,7,1131939,2020-04-14,15
174,Maule,7,1131939,2020-04-15,15
175,Maule,7,1131939,2020-04-16,13
176,Maule,7,1131939,2020-04-17,12
177,Maule,7,1131939,2020-04-18,12
178,Maule,7,1131939,2020-04-19,15
179,Maule,7,1131939,2020-04-20,9
180,Nuble,16,511551,2020-04-01,7
181,Nuble,16,511551,2020-04-02,8
182,Nuble,16,511551,2020-04-03,10
183,Nuble,16,511551,2020-04-04,11
184,Nuble,16,511551,2020-04-05,10
185,Nuble,16,511551,2020-04-06,11
186,Nuble,16,511551,2020-04-07,13
187,Nuble,16,511551,2020-04-08,13
188,Nuble,16,511551,2020-04-09,13
189,Nuble,16,511551,2020-04-10,13
190,Nuble,16,511551,2020-04-11,13
191,Nuble,16,511551,2020-04-12,12
192,Nuble,16,511551,2020-04-13,13
193,Nuble,16,511551,2020-04-14,12
194,Nuble,16,511551,2020-04-15,13
195,Nuble,16,511551,2020-04-16,12
196,Nuble,16,511551,2020-04-17,12
197,Nuble,16,511551,2020-04-18,13
198,Nuble,16,511551,2020-04-19,14
199,Nuble,16,511551,2020-04-20,15
200,Biobio,8,1663696,2020-04-01,14
201,Biobio,8,1663696,2020-04-02,18
202,Biobio,8,1663696,2020-04-03,21
203,Biobio,8,1663696,2020-04-04,24
204,Biobio,8,1663696,2020-04-05,26
