,Grupo de edad,fecha,Cantidad
0,<=39,2020-04-09,2
1,<=39,2020-04-10,2
2,<=39,2020-04-11,3
3,<=39,2020-04-12,3
4,<=39,2020-04-13,3
5,<=39,2020-04-14,3
6,<=39,2020-04-15,3
7,<=39,2020-04-16,3
8,<=39,2020-04-17,4
9,<=39,2020-04-18,4
10,<=39,2020-04-19,4
11,<=39,2020-04-20,4
12,40-49,2020-04-09,1
13,40-49,2020-04-10,2
14,40-49,2020-04-11,2
15,40-49,2020-04-12,2
16,40-49,2020-04-13,2
17,40-49,2020-04-14,2
18,40-49,2020-04-15,2
19,40-49,2020-04-16,2
20,40-49,2020-04-17,2
21,40-49,2020-04-18,2
22,40-49,2020-04-19,2
23,40-49,2020-04-20,2
24,50-59,2020-04-09,1
25,50-59,2020-04-10,2
26,50-59,2020-04-11,2
27,50-59,2020-04-12,3
28,50-59,2020-04-13,3
29,50-59,2020-04-14,5
30,50-59,2020-04-15,5
31,50-59,2020-04-16,6
32,50-59,2020-04-17,8
33,50-59,2020-04-18,8
34,50-59,2020-04-19,9
35,50-59,2020-04-20,11
36,60-69,2020-04-09,9
37,60-69,2020-04-10,10
38,60-69,2020-04-11,12
39,60-69,2020-04-12,12
40,60-69,2020-04-13,12
41,60-69,2020-04-14,12
42,60-69,2020-04-15,12
43,60-69,2020-04-16,14
44,60-69,2020-04-17,16
45,60-69,2020-04-18,17
46,60-69,2020-04-19,18
47,60-69,2020-04-20,19
48,70-79,2020-04-09,21
49,70-79,2020-04-10,22
50,70-79,2020-04-11,24
51,70-79,2020-04-12,28
52,70-79,2020-04-13,29
53,70-79,2020-04-14,30
54,70-79,2020-04-15,31
55,70-79,2020-04-16,32
56,70-79,2020-04-17,36
57,70-79,2020-04-18,39
58,70-79,2020-04-19,41
59,70-79,2020-04-20,42
60,80-89,2020-04-09,19
61,80-89,2020-04-10,21
62,80-89,2020-04-11,24
63,80-89,2020-04-12,25
64,80-89,2020-04-13,26
65,80-89,2020-04-14,32
66,80-89,2020-04-15,33
67,80-89,2020-04-16,38
68,80-89,2020-04-17,40
69,80-89,2020-04-18,44
70,80-89,2020-04-19,46
71,80-89,2020-04-20,47
72,>=90,2020-04-09,4
73,>=90,2020-04-10,6
74,>=90,2020-04-11,6
75,>=90,2020-04-12,7
76,>=90,2020-04-13,7
77,>=90,2020-04-14,8
78,>=90,2020-04-15,8
79,>=90,2020-04-16,10
80,>=90,2020-04-17,10
81,>=90,2020-04-18,12
82,>=90,2020-04-19,13
83,>=90,2020-04-20,14
