ID,Nombre Español,Nombre Ingles,region,sub-region,intermediate-region,alpha-2,alpha-3,Latitude (average),Longitude (average),WORLDPOB_SN,WORLDMPOB_Country (or dependency),WORLDMPOB_#,WORLD_SN,"WORLDM_Country,Other",ECDC_SN,ECDC_countriesAndTerritories,OURWOR_SN,OURWORLD_Entity,JHONH_SN,JHONH_Country/Region,Early_SN,Early_COUNTRY,Tipo,Nombre común,"Estado
(forma oficial)",Forma de gobierno,Capital,Continente,Mapa Google,Wikipedia,MapUbicaciónWIKI,Noticias BING,Videos BING
22,Birmania / Myanmar,Myanmar,Asia,South-eastern Asia,,MM,MMR,22.0,98.0,S,Myanmar,26.0,S,Myanmar,S,Namibia,S,Myanmar,S,Burma,N,Myanmar,Estado Soberanos,,República de la Unión de Myanmar​,República parlamentaria,Naipyidó,Asia,https://www.google.com/maps/place/Birmania / Myanmar,https://es.wikipedia.org/wiki/Birmania / Myanmar,https://commons.wikimedia.org/wiki/File:Myanmar_in_its_region.svg#/media/File:Myanmar_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Myanmar&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Myanmar&FORM=HDRSC4
23,Bolivia,Bolivia,Americas,Latin America and the Caribbean,South America,BO,BOL,-17.0,-65.0,S,Bolivia,80.0,S,Bolivia,S,Bolivia,S,Bolivia,S,Bolivia,S,Bolivia,Estado Soberanos,,Estado Plurinacional de Bolivia,República presidencialista,Sucre​,América,https://www.google.com/maps/place/Bolivia,https://es.wikipedia.org/wiki/Bolivia,https://commons.wikimedia.org/wiki/File:Bolivia_in_its_region.svg#/media/File:Bolivia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Bolivia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Bolivia&FORM=HDRSC4
24,Bosnia y Herzegovina / Bosnia-Herzegovina,Bosnia and Herzegovina,Europe,Southern Europe,,BA,BIH,44.0,18.0,S,Bosnia and Herzegovina,135.0,S,Bosnia and Herzegovina,S,Bosnia_and_Herzegovina,S,Bosnia and Herzegovina,S,Bosnia and Herzegovina,N,Bosnia and Herzegovina,Estado Soberanos,,Bosnia y Herzegovina,República parlamentaria,Sarajevo,Europa,https://www.google.com/maps/place/Bosnia y Herzegovina / Bosnia-Herzegovina,https://es.wikipedia.org/wiki/Bosnia y Herzegovina / Bosnia-Herzegovina,https://commons.wikimedia.org/wiki/File:Bosnia and Herzegovina_in_its_region.svg#/media/File:Bosnia and Herzegovina_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Bosnia and Herzegovina&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Bosnia and Herzegovina&FORM=HDRSC4
25,Botsuana,Botswana,Africa,Sub-Saharan Africa,Southern Africa,BW,BWA,-22.0,24.0,S,Botswana,145.0,S,Botswana,N,Botswana,N,Botswana,S,Botswana,N,Botswana,Estado Soberanos,,República de Botsuana,República parlamentaria,Gaborone,África,https://www.google.com/maps/place/Botsuana,https://es.wikipedia.org/wiki/Botsuana,https://commons.wikimedia.org/wiki/File:Botswana_in_its_region.svg#/media/File:Botswana_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Botswana&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Botswana&FORM=HDRSC4
26,Brasil,Brazil,Americas,Latin America and the Caribbean,South America,BR,BRA,-10.0,-55.0,S,Brazil,6.0,S,Brazil,S,Brazil,S,Brazil,S,Brazil,S,Brazil,Estado Soberanos,,República Federativa del Brasil,República presidencialista,Brasilia,América,https://www.google.com/maps/place/Brasil,https://es.wikipedia.org/wiki/Brasil,https://commons.wikimedia.org/wiki/File:Brazil_in_its_region.svg#/media/File:Brazil_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Brazil&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Brazil&FORM=HDRSC4
27,Brunéi,Brunei,Asia,South-eastern Asia,,BN,BRN,4.5,114.6667,S,Brunei,175.0,S,Brunei,S,Brunei_Darussalam,S,Brunei,S,Brunei,N,Brunei,Estado Soberanos,,Estado de Brunéi Darussalam,Monarquía absoluta,Bandar Seri Begawan,Asia,https://www.google.com/maps/place/Brunéi,https://es.wikipedia.org/wiki/Brunéi,https://commons.wikimedia.org/wiki/File:Brunei_in_its_region.svg#/media/File:Brunei_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Brunei&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Brunei&FORM=HDRSC4
28,Bulgaria,Bulgaria,Europe,Eastern Europe,,BG,BGR,43.0,25.0,S,Bulgaria,107.0,S,Bulgaria,S,Bulgaria,S,Bulgaria,S,Bulgaria,S,Bulgaria,Estado Soberanos,,República de Bulgaria,República parlamentaria,Sofía,Europa,https://www.google.com/maps/place/Bulgaria,https://es.wikipedia.org/wiki/Bulgaria,https://commons.wikimedia.org/wiki/File:Bulgaria_in_its_region.svg#/media/File:Bulgaria_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Bulgaria&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Bulgaria&FORM=HDRSC4
29,Burkina Faso,Burkina Faso,Africa,Sub-Saharan Africa,Western Africa,BF,BFA,13.0,-2.0,S,Burkina Faso,59.0,S,Burkina Faso,S,Burkina_Faso,S,Burkina Faso,S,Burkina Faso,N,Burkina Faso,Estado Soberanos,,Burkina Faso,República semipresidencialista,Uagadugú,África,https://www.google.com/maps/place/Burkina Faso,https://es.wikipedia.org/wiki/Burkina Faso,https://commons.wikimedia.org/wiki/File:Burkina Faso_in_its_region.svg#/media/File:Burkina Faso_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Burkina Faso&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Burkina Faso&FORM=HDRSC4
30,Burundi,Burundi,Africa,Sub-Saharan Africa,Eastern Africa,BI,BDI,-3.5,30.0,S,Burundi,78.0,S,Burundi,N,Burundi,N,Burundi,S,Burundi,N,Burundi,Estado Soberanos,,República de Burundi,República presidencialista,Gitega​,África,https://www.google.com/maps/place/Burundi,https://es.wikipedia.org/wiki/Burundi,https://commons.wikimedia.org/wiki/File:Burundi_in_its_region.svg#/media/File:Burundi_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Burundi&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Burundi&FORM=HDRSC4
31,Bután,Bhutan,Asia,Southern Asia,,BT,BTN,27.5,90.5,S,Bhutan,165.0,S,Bhutan,S,Bhutan,S,Bhutan,S,Bhutan,N,Bhutan,Estado Soberanos,,Reino de Bután,Monarquía constitucional,Timbu,Asia,https://www.google.com/maps/place/Bután,https://es.wikipedia.org/wiki/Bután,https://commons.wikimedia.org/wiki/File:Bhutan_in_its_region.svg#/media/File:Bhutan_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Bhutan&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Bhutan&FORM=HDRSC4
32,Cabo Verde,Cape Verde,Africa,Sub-Saharan Africa,Western Africa,CV,CPV,16.0,-24.0,S,Cabo Verde,172.0,S,Cabo Verde,S,Cape_Verde,S,Cape Verde,S,Cabo Verde,N,Cape Verde,Estado Soberanos,,República de Cabo Verde,República semipresidencialista,Praia,África,https://www.google.com/maps/place/Cabo Verde,https://es.wikipedia.org/wiki/Cabo Verde,https://commons.wikimedia.org/wiki/File:Cape Verde_in_its_region.svg#/media/File:Cape Verde_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Cape Verde&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Cape Verde&FORM=HDRSC4
33,Camboya,Cambodia,Asia,South-eastern Asia,,KH,KHM,13.0,105.0,S,Cambodia,71.0,S,Cambodia,S,Cambodia,S,Cambodia,S,Cambodia,S,Cambodia,Estado Soberanos,,Reino de Camboya,Monarquía parlamentaria,Nom Pen,Asia,https://www.google.com/maps/place/Camboya,https://es.wikipedia.org/wiki/Camboya,https://commons.wikimedia.org/wiki/File:Cambodia_in_its_region.svg#/media/File:Cambodia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Cambodia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Cambodia&FORM=HDRSC4
34,Camerún,Cameroon,Africa,Sub-Saharan Africa,Middle Africa,CM,CMR,6.0,12.0,S,Cameroon,52.0,S,Cameroon,S,Cameroon,S,Cameroon,S,Cameroon,S,Cameroon,Estado Soberanos,,República de Camerún,República presidencialista,Yaundé,África,https://www.google.com/maps/place/Camerún,https://es.wikipedia.org/wiki/Camerún,https://commons.wikimedia.org/wiki/File:Cameroon_in_its_region.svg#/media/File:Cameroon_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Cameroon&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Cameroon&FORM=HDRSC4
35,Canadá,Canada,Americas,Northern America,,CA,CAN,60.0,-95.0,S,Canada,39.0,S,Canada,S,Canada,S,Canada,S,Canada,S,Canada,Estado Soberanos,,Canadá,Monarquía constitucional,Ottawa,América,https://www.google.com/maps/place/Canadá,https://es.wikipedia.org/wiki/Canadá,https://commons.wikimedia.org/wiki/File:Canada_in_its_region.svg#/media/File:Canada_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Canada&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Canada&FORM=HDRSC4
36,Catar,Qatar,Asia,Western Asia,,QA,QAT,25.5,51.25,S,Qatar,139.0,S,Qatar,S,Qatar,S,Qatar,S,Qatar,N,Qatar,Estado Soberanos,,Estado de Catar,Monarquía absoluta,Doha,Asia,https://www.google.com/maps/place/Catar,https://es.wikipedia.org/wiki/Catar,https://commons.wikimedia.org/wiki/File:Qatar_in_its_region.svg#/media/File:Qatar_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Qatar&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Qatar&FORM=HDRSC4
37,República Centroafricana,Central African Republic,Africa,Sub-Saharan Africa,Middle Africa,CF,CAF,7.0,21.0,S,Central African Republic,125.0,S,CAR,S,Central_African_Republic,S,Central African Republic,S,Central African Republic,N,Central African Republic,Estado Soberanos,,República Centroafricana,República semipresidencialista,Bangui,África,https://www.google.com/maps/place/República Centroafricana,https://es.wikipedia.org/wiki/República Centroafricana,https://commons.wikimedia.org/wiki/File:Central African Republic_in_its_region.svg#/media/File:Central African Republic_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Central African Republic&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Central African Republic&FORM=HDRSC4
38,Chad,Chad,Africa,Sub-Saharan Africa,Middle Africa,TD,TCD,15.0,19.0,S,Chad,72.0,S,Chad,S,Chad,S,Chad,S,Chad,N,Chad,Estado Soberanos,,República del Chad,República presidencialista,Yamena,África,https://www.google.com/maps/place/Chad,https://es.wikipedia.org/wiki/Chad,https://commons.wikimedia.org/wiki/File:Chad_in_its_region.svg#/media/File:Chad_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Chad&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Chad&FORM=HDRSC4
39,República Checa / Chequia,Czech Republic,Europe,Eastern Europe,,CZ,CZE,49.75,15.5,S,Czech Republic (Czechia),86.0,S,Czechia,S,Czech_Republic,S,Czech Republic,S,Czechia,S,Czech Republic,Estado Soberanos,,República Checa,República parlamentaria,Praga,Europa,https://www.google.com/maps/place/República Checa / Chequia,https://es.wikipedia.org/wiki/República Checa / Chequia,https://commons.wikimedia.org/wiki/File:Czech Republic_in_its_region.svg#/media/File:Czech Republic_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Czech Republic&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Czech Republic&FORM=HDRSC4
40,Chile,Chile,Americas,Latin America and the Caribbean,South America,CL,CHL,-30.0,-71.0,S,Chile,63.0,S,Chile,S,Chile,S,Chile,S,Chile,S,Chile,Estado Soberanos,,República de Chile,República presidencialista,Santiago​,América,https://www.google.com/maps/place/Chile,https://es.wikipedia.org/wiki/Chile,https://commons.wikimedia.org/wiki/File:Chile_in_its_region.svg#/media/File:Chile_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Chile&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Chile&FORM=HDRSC4
41,China,China,Asia,Eastern Asia,,CN,CHN,35.0,105.0,S,China,1.0,S,China,S,China,S,China,S,China,S,China,Estado Soberanos,,República Popular China,Estado socialista unipartidista,Pekín,Asia,https://www.google.com/maps/place/China,https://es.wikipedia.org/wiki/China,https://commons.wikimedia.org/wiki/File:China_in_its_region.svg#/media/File:China_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +China&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +China&FORM=HDRSC4
42,Chipre,Cyprus,Asia,Western Asia,,CY,CYP,35.0,33.0,S,Cyprus,158.0,S,Cyprus,S,Cyprus,S,Cyprus,S,Cyprus,N,Cyprus,Estado Soberanos,,República de Chipre,República presidencialista,Nicosia,Asia,https://www.google.com/maps/place/Chipre,https://es.wikipedia.org/wiki/Chipre,https://commons.wikimedia.org/wiki/File:Cyprus_in_its_region.svg#/media/File:Cyprus_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Cyprus&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Cyprus&FORM=HDRSC4
