"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Reported1st case,Primer caso
Tanzania,509,,21.0,,183.0,305.0,7.0,8.0,0.3,,,Mar 15,15-03-2020
Cambodia,484,+1,,,470.0,14.0,,29.0,,439167.0,,Jan 26,26-01-2020
Isle of Man,449,+5,25.0,,409.0,15.0,,5263.0,293.0,30631.0,,Mar 18,18-03-2020
Cayman Islands,425,,2.0,,394.0,29.0,,6419.0,30.0,71408.0,,Mar 12,12-03-2020
Caribbean Netherlands,360,,3.0,,244.0,113.0,,13648.0,114.0,5145.0,,Mar 31,31-03-2020
Brunei,185,,3.0,,178.0,4.0,,420.0,7.0,96665.0,,Mar 08,08-03-2020
Grenada,148,,1.0,,146.0,1.0,,1311.0,9.0,20288.0,,Mar 21,21-03-2020
Dominica,134,,,,121.0,13.0,,1859.0,,10917.0,,Mar 21,21-03-2020
British Virgin Islands,114,,1.0,,95.0,18.0,,3755.0,33.0,13223.0,,Mar 24,24-03-2020
Timor-Leste,103,,,,81.0,22.0,,77.0,,20617.0,,Mar 20,20-03-2020
Fiji,56,,2.0,,54.0,0.0,,62.0,2.0,27932.0,,Mar 18,18-03-2020
New Caledonia,55,,,,50.0,5.0,,191.0,,22075.0,,Mar 17,17-03-2020
Falkland Islands,54,,,,43.0,11.0,,15237.0,,6977.0,,,
Macao,48,,,,46.0,2.0,,73.0,,4369.0,,Jan 21,21-01-2020
Laos,45,,,,41.0,4.0,,6.0,,110103.0,,Mar 23,23-03-2020
Saint Kitts and Nevis,41,,,,39.0,2.0,,767.0,,8533.0,,Mar 24,24-03-2020
Greenland,30,,,,30.0,0.0,,528.0,,17382.0,,Mar 15,15-03-2020
Vatican City,27,,,,15.0,12.0,,33666.0,,,,Mar 05,05-03-2020
Saint Pierre Miquelon,24,,,,16.0,8.0,,4155.0,,3729.0,,,
Montserrat,20,,1.0,,13.0,6.0,,4005.0,200.0,947.0,,Mar 17,17-03-2020
Anguilla,18,,,,18.0,0.0,,1193.0,,8990.0,,Mar 25,25-03-2020
Solomon Islands,18,,,,14.0,4.0,,26.0,,4500.0,,,
Western Sahara,10,,1.0,,8.0,1.0,,16.0,2.0,,,,
MS Zaandam,9,,2.0,,7.0,0.0,,,,,,Mar 26,26-03-2020
Wallis and Futuna,9,,,,5.0,4.0,,810.0,,1202.0,,,
Marshall Islands,4,,,,4.0,0.0,,67.0,,,,,
Samoa,3,,,,2.0,1.0,,15.0,,,,,
Micronesia,1,,,,1.0,0.0,,9.0,,,,,
Vanuatu,1,,,,1.0,0.0,,3.0,,470.0,,,
China,89816,+10,4636.0,,84696.0,484.0,8.0,62.0,3.0,160000000.0,,Jan 10,10-01-2020
Total:,111053930,"+226,082",2457468.0,"+5,956",85974947.0,22621515.0,95252.0,14247.2,315.3,,,,
