,Grupo de edad,Sexo,fecha,Cantidad
0,00 - 15 años,M,2020-03-24,1
1,00 - 15 años,M,2020-03-25,1
2,00 - 15 años,M,2020-03-26,1
3,00 - 15 años,M,2020-03-27,1
4,00 - 15 años,M,2020-03-28,1
5,00 - 15 años,M,2020-03-29,1
6,00 - 15 años,M,2020-03-30,1
7,00 - 15 años,M,2020-03-31,1
8,00 - 15 años,M,2020-04-01,1
9,00 - 15 años,M,2020-04-02,1
10,00 - 15 años,M,2020-04-03,1
11,00 - 15 años,M,2020-04-04,1
12,00 - 15 años,M,2020-04-05,1
13,00 - 15 años,M,2020-04-06,1
14,00 - 15 años,M,2020-04-07,2
15,00 - 15 años,M,2020-04-08,2
16,00 - 15 años,M,2020-04-09,4
17,00 - 15 años,M,2020-04-10,5
18,00 - 15 años,M,2020-04-11,7
19,00 - 15 años,M,2020-04-12,8
20,00 - 15 años,M,2020-04-13,8
21,00 - 15 años,M,2020-04-14,8
22,00 - 15 años,M,2020-04-15,11
23,00 - 15 años,M,2020-04-16,12
24,00 - 15 años,M,2020-04-17,16
25,00 - 15 años,M,2020-04-18,20
26,00 - 15 años,M,2020-04-19,21
27,15 - 29 años,M,2020-03-24,2
28,15 - 29 años,M,2020-03-25,6
29,15 - 29 años,M,2020-03-26,8
30,15 - 29 años,M,2020-03-27,8
31,15 - 29 años,M,2020-03-28,9
32,15 - 29 años,M,2020-03-29,9
33,15 - 29 años,M,2020-03-30,11
34,15 - 29 años,M,2020-03-31,12
35,15 - 29 años,M,2020-04-01,13
36,15 - 29 años,M,2020-04-02,15
37,15 - 29 años,M,2020-04-03,15
38,15 - 29 años,M,2020-04-04,16
39,15 - 29 años,M,2020-04-05,18
40,15 - 29 años,M,2020-04-06,19
41,15 - 29 años,M,2020-04-07,21
42,15 - 29 años,M,2020-04-08,30
43,15 - 29 años,M,2020-04-09,40
44,15 - 29 años,M,2020-04-10,51
45,15 - 29 años,M,2020-04-11,52
46,15 - 29 años,M,2020-04-12,54
47,15 - 29 años,M,2020-04-13,56
48,15 - 29 años,M,2020-04-14,59
49,15 - 29 años,M,2020-04-15,67
50,15 - 29 años,M,2020-04-16,71
51,15 - 29 años,M,2020-04-17,74
52,15 - 29 años,M,2020-04-18,79
53,15 - 29 años,M,2020-04-19,80
54,30 - 44 años,M,2020-03-24,9
55,30 - 44 años,M,2020-03-25,26
56,30 - 44 años,M,2020-03-26,28
57,30 - 44 años,M,2020-03-27,34
58,30 - 44 años,M,2020-03-28,42
59,30 - 44 años,M,2020-03-29,43
60,30 - 44 años,M,2020-03-30,46
61,30 - 44 años,M,2020-03-31,49
62,30 - 44 años,M,2020-04-01,52
63,30 - 44 años,M,2020-04-02,54
64,30 - 44 años,M,2020-04-03,64
65,30 - 44 años,M,2020-04-04,70
66,30 - 44 años,M,2020-04-05,75
67,30 - 44 años,M,2020-04-06,82
68,30 - 44 años,M,2020-04-07,84
69,30 - 44 años,M,2020-04-08,95
70,30 - 44 años,M,2020-04-09,104
71,30 - 44 años,M,2020-04-10,126
72,30 - 44 años,M,2020-04-11,131
73,30 - 44 años,M,2020-04-12,135
74,30 - 44 años,M,2020-04-13,140
75,30 - 44 años,M,2020-04-14,154
76,30 - 44 años,M,2020-04-15,167
77,30 - 44 años,M,2020-04-16,191
